NodeID,Name,Degree,SI,SRI,Therapeutic_Class
0,Floxicare OZ 200mg/500mg Tablet,2,0.0035971223021582736,0.9964028776978417,  GASTRO INTESTINA
1,Isodit 30 SR Tablet,2,0.0035971223021582736,0.9964028776978417,  CARDIAC 
2,Seldan Shampoo,0,0.0,1.0,  DERMA 
3,Nimtor-P Tablet,10,0.017985611510791366,0.9820143884892086,  PAIN ANALGESIC
4,Moxil 500mg Tablet,1,0.0017985611510791368,0.9982014388489209,  ANTI INFECTIVES 
5,Rozuxia-F 67mg/10mg Tablet,2,0.0035971223021582736,0.9964028776978417,  CARDIA
6,Soltus OD 100 Tablet SR,3,0.00539568345323741,0.9946043165467626,  NEURO CN
7,Drofill-Spas Tablet,3,0.00539568345323741,0.9946043165467626,  GASTRO INTESTINA
8,Coxitas 120mg Tablet,9,0.01618705035971223,0.9838129496402878,  PAIN ANALGESIC
9,Revelol XL 25 Tablet,6,0.01079136690647482,0.9892086330935251,  CARDIAC 
10,Ltc Kit,2,0.0035971223021582736,0.9964028776978417,  GASTRO INTESTINA
11,Fluka 150mg Capsule,1,0.0017985611510791368,0.9982014388489209,  ANTI INFECTIVES 
12,Epilide Plus 100mg/500mg Tablet,1,0.0017985611510791368,0.9982014388489209,  PAIN ANALGESIC
13,HY-Femran 250 Injection,217,0.3902877697841727,0.6097122302158273,  GYNAECOLOGICAL 
14,Nebider AM 5mg/5mg Tablet,371,0.6672661870503597,0.33273381294964033,  CARDIA
15,Sleeparm 5mg Tablet,250,0.44964028776978415,0.5503597122302158,  NEURO CNS 
16,Nuti 50mg/500mg Tablet,217,0.3902877697841727,0.6097122302158273,  PAIN ANALGESIC
17,Instaflex P Tablet SR,23,0.04136690647482014,0.9586330935251799,  PAIN ANALGESIC
18,Megasure CV 500mg/125mg Tablet,0,0.0,1.0,  ANTI INFECTIVE
19,Gynomic NP 100mg Tablet,4,0.007194244604316547,0.9928057553956835,  GYNAECOLOGICAL 
20,Unimyco 200 Capsule,5,0.008992805755395683,0.9910071942446044,  ANTI INFECTIVES 
21,Wipac-C Gel,47,0.08453237410071943,0.9154676258992805,  DERM
22,Logithro 250 Tablet,365,0.6564748201438849,0.3435251798561151,  ANTI INFECTIVES 
23,Rdmac D 30mg/20mg Capsule SR,269,0.48381294964028776,0.5161870503597122,  GASTRO INTESTINA
24,Hycet 10mg Tablet,372,0.6690647482014388,0.3309352517985612,  RESPIRATOR
25,I Ket 2% Cream,2,0.0035971223021582736,0.9964028776978417,  DERM
26,Ticocit-P Tablet,57,0.10251798561151079,0.8974820143884892,  NEURO CN
27,Inte-Zol 20 Capsule DR,229,0.4118705035971223,0.5881294964028777,  GASTRO INTESTINAL 
28,I Nac Eye Drop,0,0.0,1.0,  OPHTHAL 
29,Levoler M Kid 2.5mg/4mg Tablet,7,0.012589928057553957,0.987410071942446,  RESPIRATOR
30,Ice Ultra Eye Drop,0,0.0,1.0,  OPHTHA
31,Amantide Capsule,3,0.00539568345323741,0.9946043165467626,  NEURO CNS 
32,Panzac 40mg Tablet,8,0.014388489208633094,0.9856115107913669,  GASTRO INTESTINAL 
33,Vovcad Injection,7,0.012589928057553957,0.987410071942446,  PAIN ANALGESICS 
34,Omistil D 10mg/20mg Capsule,10,0.017985611510791366,0.9820143884892086,  GASTRO INTESTINA
35,Neutrahep 10mg Injection,0,0.0,1.0,  OTHERS 
36,Pantasur-DSR Capsule,2,0.0035971223021582736,0.9964028776978417,  GASTRO INTESTINA
37,MG Clave 625 Tablet,1,0.0017985611510791368,0.9982014388489209,  ANTI INFECTIVE
38,Aslonac S Tablet,8,0.014388489208633094,0.9856115107913669,  PAIN ANALGESIC
39,Dapazee M 500 XR Tablet,10,0.017985611510791366,0.9820143884892086,  ANTI DIABETI
40,Oscocef 500mg Injection,1,0.0017985611510791368,0.9982014388489209,  ANTI INFECTIVES 
41,Volitra AQ 75mg Injection 1ml,1,0.0017985611510791368,0.9982014388489209,  PAIN ANALGESICS 
42,Sertagress 100mg Tablet,1,0.0017985611510791368,0.9982014388489209,  NEURO CNS 
43,Eardri Ear Drop,0,0.0,1.0,  DERMA 
44,Zanocin 200mg Infusion,288,0.5179856115107914,0.48201438848920863,  ANTI INFECTIVES 
45,Vibose 0.2mg Tablet,195,0.35071942446043164,0.6492805755395683,  ANTI DIABETIC 
46,Linmox 500mg Capsule,187,0.3363309352517986,0.6636690647482014,  ANTI INFECTIVES 
