Drug Name,Therapeutic_Class,Alternative Count,SI Score,SRI Score,Market Status,Supply Chain Action
Floxicare OZ 200mg/500mg Tablet,GASTRO INTESTINAL,104,1.76,8.24,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Isodit 30 SR Tablet,CARDIAC,38,0.64,9.36,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Seldan Shampoo,DERMA,1,0.02,9.98,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Nimtor-P Tablet,PAIN ANALGESICS,54,0.91,9.09,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Moxil 500mg Tablet,ANTI INFECTIVES,7,0.12,9.88,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Rozuxia-F 67mg/10mg Tablet,CARDIAC,15,0.25,9.75,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Soltus OD 100 Tablet SR,NEURO CNS,51,0.86,9.14,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Drofill-Spas Tablet,GASTRO INTESTINAL,50,0.84,9.16,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Coxitas 120mg Tablet,PAIN ANALGESICS,37,0.62,9.38,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Revelol XL 25 Tablet,CARDIAC,33,0.56,9.44,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Ltc Kit,GASTRO INTESTINAL,61,1.03,8.97,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Fluka 150mg Capsule,ANTI INFECTIVES,49,0.83,9.17,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
Epilide Plus 100mg/500mg Tablet,PAIN ANALGESICS,34,0.57,9.43,Critical / Unique (High Risk),Strategic Stockpile (High Priority)
HY-Femran 250 Injection,GYNAECOLOGICAL,264,4.46,5.54,Medium Flexibility,Regular Monitoring
Nebider AM 5mg/5mg Tablet,CARDIAC,481,8.12,1.88,High Flexibility (Safe),Lean Inventory (Low Risk)
Sleeparm 5mg Tablet,NEURO CNS,313,5.29,4.71,Medium Flexibility,Regular Monitoring
Nuti 50mg/500mg Tablet,PAIN ANALGESICS,265,4.48,5.52,Medium Flexibility,Regular Monitoring
